"Region","AvailabilityZone","VolumeId","VolumeType","Size","Iops","Throughput","State","Tags","Name","InstanceId","InstanceState","InstanceType","Device","IsRootVolume","PlatformDetails"
"us-west-2","us-west-2b","vol-086b5df2762cc363f","gp3","8","3000","125","in-use","=",,"i-02bf0d3e31cefdcf5","running","t3.large","/dev/xvda","True","Linux/UNIX"
"us-west-2","us-west-2b","vol-06fba04967d0b3d3b","gp2","100","300",,"in-use","importance=low; owner=gso; team=fsa; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; org=revenue; ext-facing=false; service=demo; administrator=david_stamen; env=sandbox; Product=Pure:CBS",,"i-07f044e4efef547a5","running","i3.2xlarge","/dev/sda1","True","Linux/UNIX"
"us-west-2","us-west-2b","vol-068b2bcd8b5c3db20","gp3","10","3000","125","in-use","=",,"i-030e8706fd244a0d6","running","t2.micro","/dev/xvda","True","Linux/UNIX"
"us-west-2","us-west-2b","vol-0a63b965b40b21974","gp3","200","3000","125","in-use","=",,"i-09add464622bcc412","running","m7i.2xlarge","/dev/sda1","True","Windows"
"us-west-2","us-west-2b","vol-0fe6ffba28e0c778a","gp2","100","300",,"in-use","team=fsa; importance=low; env=sandbox; ext-facing=false; org=revenue; Product=Pure:CBS; administrator=david_stamen; owner=gso; service=demo; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d",,"i-0a0ea94f54a9adbca","running","i3.2xlarge","/dev/sda1","True","Linux/UNIX"
"us-west-2","us-west-2b","vol-0a48a2cd84fa5f82e","gp3","200","3000","125","in-use","=",,"i-01998a41289cfdb3d","running","m7i.4xlarge","/dev/sda1","True","Windows"
"us-west-2","us-west-2b","vol-0fdd49e12f8d612e9","gp2","30","100",,"in-use","=",,"i-0ce136b09b3f4a519","running","t2.small","/dev/sda1","True","Windows"
"us-west-2","us-west-2b","vol-0cb549a6858fb9907","gp3","128","3000","125","in-use","ext-facing=false; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; service=demo; administrator=david_stamen; Product=Pure:CBS; importance=low; owner=gso; team=fsa; env=sandbox; org=revenue",,"i-0494a4be832e6a643","running","c5n.9xlarge","/dev/sda1","True","Linux/UNIX"
"us-west-2","us-west-2b","vol-0e88d108ecb15cfd0","io2","6","3000",,"in-use","pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; Product=Pure:CBS; importance=low; administrator=david_stamen; env=sandbox; owner=gso; service=demo; ext-facing=false; org=revenue; team=fsa",,"i-00a5516b75f1dfc9f","running","i3.2xlarge","/dev/sdf","False","Linux/UNIX"
"us-west-2","us-west-2b","vol-0ceb2697417aff434","gp3","128","3000","125","in-use","owner=gso; administrator=david_stamen; importance=low; env=sandbox; ext-facing=false; team=fsa; Product=Pure:CBS; org=revenue; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; service=demo",,"i-0060e8087d64e2421","running","c5n.9xlarge","/dev/sda1","True","Linux/UNIX"
"us-west-2","us-west-2b","vol-06dbabe2b7a2086b8","gp2","30","100",,"in-use","=",,"i-0e498833bb16eeca4","running","t2.small","/dev/sda1","True","Windows"
"us-west-2","us-west-2a","vol-0a3f716c1fe92105a","gp2","50","150",,"in-use","=",,"i-08f987332e93cbe4b","stopped","t2.medium","/dev/sda1","True","Windows"
"us-west-2","us-west-2b","vol-05b31cb7df6f1222d","gp2","100","300",,"in-use","pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; team=fsa; Product=Pure:CBS; owner=gso; env=sandbox; administrator=david_stamen; importance=low; org=revenue; ext-facing=false; service=demo",,"i-0875315865ca66763","running","i3.2xlarge","/dev/sda1","True","Linux/UNIX"
"us-west-2","us-west-2a","vol-014042f232c179c66","gp3","30","3000","125","in-use","Name=pure-draas-05875437-2c47-486a-87f0-340137e9aca2-CloudManager-Worker-0; aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/PureProtectDRaaS-SiteResourcesStack-12D7VURV4V2EF/0bf47900-7885-11f0-8182-0600340223f1; ext-facing=false; org=revenue; pure-protect-draas-provider-id=05875437-2c47-486a-87f0-340137e9aca2; aws:cloudformation:logical-id=CloudManagerInstance; owner=GSO; importance=low; pure-protect-draas-node-id=31c40461-64b1-4dd6-8ff6-5425f50125fc; env=sandbox; administrator=Chad Monteith - cmonteith; pure-protect-draas-cluster-id=c33303c51940e44b99adbc7b93567736e; aws:cloudformation:stack-name=PureProtectDRaaS-SiteResourcesStack-12D7VURV4V2EF; service=demo; team=FSA","pure-draas-05875437-2c47-486a-87f0-340137e9aca2-CloudManager-Worker-0","i-0d269d32d9bae21f3","running","m6i.xlarge","/dev/sda1","True","Linux/UNIX"
