"Utilized_Write_IOPS","Provisioned_BW_MBps","Provisioned_IOPS","Utilized_Read_IOPS","VirtualNetwork","Utilized_Read_Avg_BW_MBps","AvailabilityZone","OperatingSystem","DiskSKU","Utilized_Write_Avg_BW_MBps","DataDiskName","Location","Utilized_Write_Max_BW_MBps","SizeGB","VMName","Utilized_Read_Max_BW_MBps"
,"100","500",,"gso-core-westus2-vnet","0","1","Windows","Premium_LRS","0","gso-fsa-js-sql_OsDisk_1_92b5959cfba848fa93f7136ea504a5bf","westus2","0","127","gso-fsa-js-sql","0"
,"60","500",,"gso-core-westus2-vnet","0","No Zone","Linux","Standard_LRS","0","gso-pt-za-lin_disk1_2e54dfa4a1114214ad02b6103bb7e01a","westus2","0","30","gso-pt-za-lin","0"
,"60","500",,"gso-core-westus2-vnet","0","No Zone","Windows","Standard_LRS","0","gso-pt-mb-win_OsDisk_1_1b522632b2314561b38778f5c20be731","westus2","0","127","gso-pt-mb-win","0"
,"60","500",,"gso-core-southeastasia-vnet","0","No Zone","Linux","Standard_LRS","0","gso-fsa-mc-lin-asr07_OsDisk_1_7f83ac540afe4e8691c1d365949c28f9","southeastasia","0","30","gso-fsa-mc-lin-asr07","0"
"0.996527777777778","125","4211","9.696527777777776","gso-core-westus2-vnet","0.372937262058258","1","Linux","PremiumV2_LRS","0.23787582384215458","gso-cbs-azure-ssd-3","westus2","0.2930216471354167","256","gso-cbs-azure-ct1","0.74367782274882"
"3.329166666666666","125","1100","0.04861111111111111","gso-core-westus2-vnet","0.07312436434957716","No Zone","Windows","Premium_LRS","0.14433810644679598","gso-cvdemo-ma_OsDisk_1_74ae17843cd54be8acdd591492d63fe5","westus2","0.5408656756083171","256","gso-cvdemo-ma","0.08150517145792643"
,"60","500",,"gso-core-westus2-vnet","0","No Zone","Windows","Standard_LRS","0","gso-pt-ms-win_OsDisk_1_3dd6feba240744c984ff1c41e636f663","westus2","0","127","gso-pt-ms-win","0"
"0.9958333333333336","125","4211","9.400694444444445","gso-core-westus2-vnet","0.3714612550205654","1","Linux","PremiumV2_LRS","0.23903331624137034","gso-cbs-azure-ssd-6","westus2","0.30080750783284504","256","gso-cbs-azure-ct1","0.7491334597269694"
,"60","500",,"gso-core-southeastasia-vnet","0","No Zone","Linux","Standard_LRS","0","gso-fsa-mc-lin-asr08_disk2_34212e5df41d4788964e6bc7071d2ac8","southeastasia","0","32","gso-fsa-mc-lin-asr08","0"
,"60","500",,"gso-core-westus2-vnet","0","No Zone","Linux","Standard_LRS","0","gso-fsa-an-lin_OsDisk_1_6b42b45777b3402d87bc8b01ae0fd091","westus2","0","30","gso-fsa-an-lin","0"
